标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
带两个车位 紧靠太湖 依山傍水 东边套大院子。,龙玺太湖湾 ,宜兴, 370万,"13,334元/平",4室2厅 , 277.49平米 , 南 , 毛坯 , 低楼层,共2层, 平房
小户型湖景洋房依山傍水环境优美，房东诚心卖,龙玺太湖湾 ,宜兴, 75万,"8,890元/平",2室1厅 , 84.37平米 , 南 , 毛坯 , 高楼层,共9层, 暂无数据
太湖边精装修可看太湖，拎包入住,龙玺太湖湾 ,宜兴, 78万,"9,277元/平",2室2厅 , 84.08平米 , 南 , 精装 , 高楼层,共6层, 暂无数据
无锡太湖边湖景大联排房东诚心出售,龙玺太湖湾 ,宜兴, 298万,"11,848元/平",5室2厅 , 251.54平米 , 南 北 , 毛坯 , 低楼层,共2层, 平房
联排别墅，毛坯，随时可以看，地上3层，地下2层,翰林苑 ,宜兴, 202万,"8,099元/平",5室2厅 , 249.43平米 , 南 北 , 毛坯 ,,, 板楼
独栋别墅院子面积大，业主诚心出售，随时可以看。,翰林苑 ,宜兴, 630万,"15,483元/平",6室2厅 , 406.9平米 , 南 北 , 毛坯 ,,, 板楼
硬装120万了全留，小区17年建成，项目位于宜兴周铁镇,名豪佳园 ,宜兴, 550万,"20,947元/平",8室2厅 , 262.57平米 , 南 北 , 精装 , 低楼层,共1层, 暂无数据
中交阳羡美庐 风景区别墅 适合居住 景色幽美,中交阳羡美庐 ,宜兴, 206万,"19,029元/平",2室2厅 , 108.26平米 , 南 , 毛坯 , 低楼层,共3层, 暂无数据
联排别墅面积大，业主诚心出售，随时可以看。,翰林苑 ,宜兴, 185万,"7,381元/平",5室2厅 , 250.65平米 , 南 北 , 毛坯 ,,, 板楼
无锡太湖边，湖景洋房房东诚心出售,龙玺太湖湾 ,宜兴, 80万,"8,266元/平",3室2厅 , 96.79平米 , 南 北 , 毛坯 , 中楼层,共9层, 暂无数据
未入住，大平层大户型房间多，中秧空调，家电全留,碧桂园凤凰台 ,宜兴, 140万,"7,342元/平",4室2厅 , 190.69平米 , 南 北 , 精装 , 低楼层,共1层, 暂无数据
苏宁天氿御城品牌开发商 户型好 诚心出售,苏宁天氿御城 ,宜兴, 225万,"17,011元/平",3室2厅 , 132.27平米 , 南 , 其他 , 低楼层,共8层, 板楼
太湖边稀蒛小高层，好楼层 一梯两户,龙玺太湖湾 ,宜兴, 75万,"8,921元/平",2室2厅 , 84.08平米 , 南 北 , 毛坯 , 高楼层,共9层, 暂无数据
独栋别墅，稀有毛坯，花园400平方米，房东诚意出售。,东锦家园 ,宜兴, 465万,"14,532元/平",7室3厅 , 320平米 , 南 北 , 毛坯 ,,, 板楼
联排别墅面积大，业主诚心出售，随时可以看。,翰林苑 ,宜兴, 208万,"8,287元/平",5室2厅 , 251平米 , 南 , 毛坯 ,,, 板楼 
周铁别墅 绿化好  5室3厅4卫带地下室,名豪佳园 ,宜兴, 363万,"14,499元/平",5室3厅 , 250.37平米 , 南 北 , 毛坯 , 低楼层,共3层, 暂无数据
苏宁天氿御城毛坯 户型方正  南北通透 视野好  随时看,苏宁天氿御城 ,宜兴, 379万,"19,877元/平",4室2厅 , 190.68平米 , 南 北 , 毛坯 , 高楼层,共31层, 板楼
湖景洋房南北通风依山傍水房东诚售,龙玺太湖湾 ,宜兴, 71万,"8,416元/平",2室2厅 , 84.37平米 , 南 北 , 毛坯 , 低楼层,共3层, 暂无数据
太湖边大院子联排别墅房东诚心出售,龙玺太湖湾 ,宜兴, 220万,"13,368元/平",4室4厅 , 164.58平米 , 南 北 , 毛坯 , 低楼层,共3层, 暂无数据
无锡太湖边湖景联排房东诚心出售,龙玺太湖湾 ,宜兴, 300万,"11,933元/平",5室3厅 , 251.42平米 , 北 南 , 毛坯 ,,, 暂无数据
景色佳空气好三房两卫客厅朝南视野开阔诚信出售,龙玺太湖湾 ,宜兴, 134万,"13,845元/平",3室2厅 , 96.79平米 , 南 , 毛坯 , 中楼层,共9层, 暂无数据
溪隐新村 3室2厅 南 北,溪隐新村 ,宜兴, 145万,"12,637元/平",3室2厅 , 114.75平米 , 南 北 , 其他 , 中楼层,共6层, 暂无数据
联排别墅东边户，毛坯，地上3层，带地下2层，带花园,翰林苑 ,宜兴, 280万,"9,356元/平",5室2厅 , 299.28平米 , 南 , 毛坯 ,,, 板楼
融域花园（宜兴） 3室2厅 北 南,融域花园（宜兴） ,宜兴, 145万,"12,821元/平",3室2厅 , 113.1平米 , 北 南 , 其他 , 低楼层,共25层, 暂无数据
户型方正南北通风，采光充足，依山傍水，能看湖景,东锦家园 ,宜兴, 55万,"5,635元/平",4室2厅 , 97.62平米 , 南 , 毛坯 , 高楼层,共5层, 暂无数据
翰林苑，别墅，三层+地下室      。,翰林苑 ,宜兴, 195万,"8,058元/平",5室2厅 , 242平米 , 南 , 毛坯 ,,, 板楼
和平社区 1室1厅 南,和平社区 ,宜兴, 48万,"8,728元/平",1室1厅 , 55平米 , 南 , 其他 , 低楼层,共2层, 暂无数据
翰林苑 5室2厅 南,翰林苑 ,宜兴, 178万,"7,102元/平",5室2厅 , 250.65平米 , 南 , 其他 ,,, 板楼 
南仓新村 2室1厅 南 北,南仓新村 ,宜兴, 85万,"10,898元/平",2室1厅 , 78平米 , 南 北 , 其他 , 高楼层,共6层, 暂无数据
